lon,lat,observer_height,heading_deg
13.03523373,38.06796107,1.5,35.30064392
12.94260995,37.57886324,1.5,65.61528778
13.90226335,37.96280743,1.5,130.5158844
12.5532242,37.84598459,1.5,27.72415161
13.47094277,37.92516744,1.5,40.47160339
14.93692829,37.15070314,1.5,84.46278381
13.01800815,37.61736638,1.5,26.69517517
12.67415118,38.04164473,1.5,209.2444153
12.67438036,38.04146191,1.5,240.3791504
13.08989701,38.00575526,1.5,306.3512878
13.6687336,37.9934508,1.5,297.0488281
13.18127381,37.58868928,1.5,34.68312073
13.78691355,37.96256178,1.5,237.59729
13.70136035,37.57616921,1.5,30.67483521
13.59126669,37.84388351,1.5,246.4258423
15.12664613,36.92858347,1.5,305.4038391
14.18531874,37.19045602,1.5,86.9684906
13.01768989,37.61788104,1.5,26.64530945
13.18103055,37.58896962,1.5,214.5296326
12.71240525,37.80648671,1.5,127.9986038
15.20600202,37.00559947,1.5,97.92900085
13.01795146,37.61745643,1.5,26.90620422
13.95278679,37.65871712,1.5,238.1490479
13.59150322,37.84380238,1.5,249.9581299
13.53860778,37.57561114,1.5,305.3082886
13.20420759,38.15723761,1.5,41.91496277
13.13298265,37.65523668,1.5,160.2045536
13.04584914,37.64275713,1.5,41.25068665
12.48019231,37.8088694,1.5,276.7908325
13.97677925,37.65846459,1.5,250.4125977
13.3181814,37.50715511,1.5,311.8703156
15.66480527,38.19288348,1.5,319.2070923
13.59718364,37.34312449,1.5,177.7234485
13.44038872,37.61778156,1.5,3.34173584
13.15984974,38.18503599,1.5,327.8722382
14.32506505,37.27725957,1.5,64.66137695
13.32671768,37.38758579,1.5,202.8673706
13.97686443,37.65843921,1.5,250.6122742
13.32873474,37.91832105,1.5,292.8374939
15.20339265,37.27338692,1.5,303.7264099
13.08979244,38.00569137,1.5,325.0046539
13.59072493,37.84408306,1.5,249.2223206
13.95261132,37.6588066,1.5,238.5315552
13.08976395,38.00553298,1.5,335.5248718
13.78339899,37.47070624,1.5,106.0074768
13.10153573,38.18624521,1.5,359.5824432
13.37220224,37.45725819,1.5,318.2988281
13.03534019,38.06831223,1.5,68.95597839
13.79245332,37.97349291,1.5,22.70753479
12.97508538,37.99841192,1.5,174.4347668
13.1810948,37.58889861,1.5,215.7029724
13.79242369,37.97360651,1.5,195.68573
12.48504199,37.69158667,1.5,249.3111267
13.93834477,38.00161059,1.5,112.978035
13.36733297,37.38383479,1.5,223.8891296
13.59136301,37.84384878,1.5,246.692688
12.71877949,37.87233007,1.5,296.5223541
13.28126478,37.42318295,1.5,196.3843994
13.32007762,37.45518281,1.5,267.003479
13.40696669,37.57887031,1.5,144.1718483
13.08969641,38.00545753,1.5,324.7162781
13.90217157,37.96274439,1.5,135.5573692
12.71840136,37.87216339,1.5,299.1121674
13.97771217,37.65837426,1.5,275.9337158
13.52516098,37.54340205,1.5,188.4054565
